Timestamp,Q3. Do you feel you can contact your parent(s) in a timely manner when you need to during the school day? ,"Q5. On an average school day (from when you arrive at school to when you leave), how much time do you spend using your phone?",Q12. How satisfied are you with your school’s phone policy?,Q13. How fairly do teachers and staff enforce your school's phone policy? Give your best guess.,Q14. What percentage of your classmates are using their phone when they shouldn’t be? Give your best guess.,"Q15. In your opinion, should your school's phone policy be more or less restrictive than it is now?","In the following set of questions, we will ask about how you view your school experience. - In general, I pay attention in class.",My school is a place where... - I often feel lonely.,"Q31a. In recent weeks, how often have you experienced the following DURING school hours? [Someone teased you or called you names.]",Q33. What grade are you in? ,Q36. What is your gender?,Q38. Please share any other thoughts you have about your school's phone policy.,"We are interested in understanding how you feel about your school's phone policy. Please rate your agreement with the following statements about your behavior or feelings since the
policy was introduced. “Since the new phone policy was introduced...” - I have felt closer to my friends."
11/13/2025 23:33:33,No,2.00,50%,100% (all of the time),100%,The policy should be a little more restrictive,Strongly disagree,Never,Most days,12,Male,"Ut! Etiam quis in porttitor et, culpa. Fusce! Egestas. Dolorem sed turpis gravida. Quis dolor.",Somewhat agree
11/13/2025 23:33:33,No,4.50,80%,70%,40%,The policy should be a little more restrictive,Somewhat agree,Sometimes,This did not happen to me,8,Female,"Interdum arcu egestas at! Molestie eros eros, integer vulputate viverra.",Somewhat agree
11/13/2025 23:33:33,No,0.00,80%,60%,60%,,Strongly disagree,Most of the time,About once a week,8,Female,Luctus temporibus odio consectetuer montes amet faucibus vivamus pede mauris volutpat ligula diam phasellus eleifend.,Somewhat disagree
11/13/2025 23:33:33,No,3.00,20%,60%,40%,I prefer not to answer,Somewhat agree,Always,Less than once a week,8,Female,"Odio, elit dolor dolor nunc venenatis tempus vestibulum pede molestie quam. Luctus maecenas.",Strongly disagree
11/13/2025 23:33:33,Yes,4.25,40%,20%,30%,,Neither agree / disagree,Never,About once a week,11,Female,Diam gravida platea at risus eleifend egestas pede magna? Tempor.,Strongly agree
11/13/2025 23:33:33,No,6.00,100% (completely satisfied),20%,20%,,Strongly agree,Never,Most days,8,Female,Posuere ut natoque et at vulputate nullam aliquam morbi eleifend euismod.,Neither agree nor disagree
11/13/2025 23:33:33,No,0.50,80%,50% (half of the time),100%,The policy is just right,Somewhat agree,Most of the time,About once a week,12,Female,Id! Tempor facilisis phasellus donec convallis. Massa tincidunt culpa blandit vel. Consequat sollicitudin sem.,Neither agree nor disagree
11/13/2025 23:33:33,Yes,7.75,70%,40%,10%,The policy should be much more restrictive,Strongly disagree,Always,Less than once a week,I prefer not to answer,Other,Consequat temporibus tellus. Ultrices rhoncus nullam id dignissim sagittis duis culpa amet ultrices euismod eleifend.,Somewhat agree
11/13/2025 23:33:33,No,1.25,40%,30%,100%,The policy should be much more restrictive,Somewhat disagree,Sometimes,This did not happen to me,I prefer not to answer,Female,"Lectus enim, vel vivamus eros egestas! Egestas vivamus. Sollicitudin! Ut scelerisque nulla.",Strongly disagree
11/13/2025 23:33:33,No,4.25,30%,40%,70%,The policy is just right,Somewhat disagree,Never,Most days,11,Female,"Nunc, tellus dui nullam! Etiam vestibulum, egestas non fermentum non curabitur egestas? Faucibus et.",Strongly agree
11/13/2025 23:33:33,Yes,6.00,70%,10%,30%,The policy should be much less restrictive,Neither agree / disagree,Most of the time,About once a week,I prefer not to answer,Male,Scelerisque proin quis dolorem eros sed morbi nibh morbi ac dolor. Proin justo.,Neither agree nor disagree
11/13/2025 23:33:33,Yes,0.75,100% (completely satisfied),90%,80%,The policy should be a little less restrictive,Strongly agree,Most of the time,Most days,7,Female,Lectus nibh maecenas? Scelerisque eget ut. Risus nunc cras dictumst. Culpa tincidunt leo.,Somewhat disagree
11/13/2025 23:33:33,No,7.75,80%,70%,30%,I prefer not to answer,Strongly agree,Sometimes,Most days,8,Male,"At, metus. Quam aliquam vel. Interdum platea! Augue nonummy accusamus.",Somewhat agree
11/13/2025 23:33:33,No,1.00,100% (completely satisfied),70%,0%,I prefer not to answer,Strongly disagree,Always,This did not happen to me,9,Male,"Ipsum suscipit dictumst est per! Ab. Suscipit dolor vulputate, vulputate pretium, elementum euismod. Dolor tempus.",Somewhat agree
11/13/2025 23:33:33,Yes,2.00,40%,70%,20%,The policy should be much less restrictive,Somewhat disagree,Always,This did not happen to me,8,Female,Pharetra maecenas lacus ante dolor dolorem fermentum pretium? Mauris sagittis.,Somewhat agree
11/13/2025 23:33:33,Yes,4.50,20%,20%,40%,The policy should be much less restrictive,Strongly agree,About half the time,Most days,8,Male,"Eget ligula. Quis auctor, nibh! Nullam tempor arcu cras magna accumsan.",Strongly disagree
11/13/2025 23:33:33,No,1.75,80%,50% (half of the time),0%,The policy should be much less restrictive,Somewhat disagree,Most of the time,Most days,8,Male,"Ultricies urna interdum, nullam molestie rhoncus, vehicula. Fusce arcu consequat placerat.",Somewhat disagree
11/13/2025 23:33:33,No,3.00,40%,0% (none of the time),100%,The policy should be a little more restrictive,Strongly agree,Always,Most days,8,Female,Ultrices. Aenean enim nunc. Posuere! Cras elementum nonummy. Elit ipsum tempus.,Somewhat disagree
11/13/2025 23:33:33,Yes,4.25,40%,30%,90%,The policy should be a little more restrictive,Neither agree / disagree,Never,Less than once a week,11,Female,"Vivamus ridiculus magna augue augue aliquet nec commodo. Nulla odio culpa, nonummy cras ultrices.",Somewhat disagree
11/13/2025 23:33:33,Yes,6.00,80%,30%,60%,,Strongly agree,Never,Less than once a week,7,Male,Wisi elit dictumst consequat. Ultricies rhoncus risus? Lacus. Elementum mi facilisi interdum nibh integer! Sem.,Neither agree nor disagree
11/13/2025 23:33:33,No,2.00,90%,90%,70%,,Strongly agree,About half the time,About once a week,6,Male,"Etiam nibh praesent facilisi leo ligula pretium eu malesuada nullam, ultricies.",Somewhat agree
11/13/2025 23:33:33,No,7.75,60%,90%,70%,The policy should be much less restrictive,Somewhat agree,Always,This did not happen to me,8,Female,Porta sagittis pretium vitae blandit ultricies atque interdum erat est mi.,Strongly disagree
11/13/2025 23:33:33,No,,80%,40%,0%,The policy should be much more restrictive,Neither agree / disagree,Most of the time,Most days,8,Male,"Neque elit, augue magnis eu suspendisse fermentum primis dolor enim accusamus velit sapien! Nec.",Somewhat disagree
11/13/2025 23:33:33,Yes,4.25,30%,30%,90%,The policy should be much more restrictive,Strongly agree,Sometimes,Less than once a week,12,Male,"Nec facilisis ullamcorper primis quam? Molestie lorem, amet pellentesque porta, pede iaculis! In magna.",Somewhat agree
11/13/2025 23:33:33,Yes,6.00,50%,30%,70%,The policy should be much less restrictive,Strongly agree,Never,This did not happen to me,8,Other,"Temporibus? Laoreet volutpat dolor quis aliquam suspendisse, a facilisis amet purus! Dapibus. Ultrices aenean egestas.",Somewhat agree
11/13/2025 23:33:33,No,,80%,30%,0%,,Neither agree / disagree,Never,Most days,12,Male,"Facilisi augue, enim. Cursus faucibus, sagittis, tempus egestas faucibus? Atque tincidunt. Erat cursus consectetuer.",Strongly agree
11/13/2025 23:33:33,Yes,7.75,100% (completely satisfied),0% (none of the time),90%,I prefer not to answer,Strongly agree,Always,Less than once a week,6,Male,Orci proin purus interdum tempus temporibus temporibus! Blandit laoreet magna! Pellentesque tempora sit pede duis.,Strongly agree
11/13/2025 23:33:33,No,1.50,100% (completely satisfied),70%,80%,I prefer not to answer,Somewhat agree,Sometimes,About once a week,11,Male,"Gravida? Enim sem, suspendisse est eleifend lectus sodales nec accusamus nec.",Somewhat agree
11/13/2025 23:33:33,Yes,2.00,30%,30%,20%,The policy should be a little less restrictive,Neither agree / disagree,About half the time,This did not happen to me,9,Female,Non diam dolorem etiam dictumst interdum diam vitae facilisis scelerisque luctus ligula quam! Posuere.,Somewhat disagree
11/13/2025 23:33:33,No,4.50,0% (not at all satisfied),20%,90%,I prefer not to answer,Neither agree / disagree,Most of the time,About once a week,8,Male,Iaculis cras magna posuere placerat! Volutpat iaculis suspendisse aliquam donec curabitur.,Somewhat disagree
11/13/2025 23:33:33,Yes,,100% (completely satisfied),70%,90%,The policy is just right,Strongly agree,Sometimes,This did not happen to me,12,Other,Integer fermentum a sodales odio metus risus non. Vestibulum justo.,Strongly disagree
11/13/2025 23:33:33,No,3.00,10%,100% (all of the time),50%,The policy should be much more restrictive,Somewhat disagree,Always,Less than once a week,9,Female,Erat mi! Lorem! Imperdiet odio elementum dignissim nunc etiam consectetuer aenean a.,Neither agree nor disagree
11/13/2025 23:33:33,Yes,4.25,70%,50% (half of the time),60%,The policy should be a little more restrictive,Somewhat agree,Never,About once a week,7,Male,"Eros posuere aenean. Sit ullamcorper. Molestie velit malesuada? Dapibus atque, atque vel ac posuere.",Neither agree nor disagree
11/13/2025 23:33:33,No,6.00,20%,0% (none of the time),40%,The policy is just right,Somewhat agree,About half the time,About once a week,9,Female,"Primis gravida, donec ultricies at. Turpis etiam luctus tempora arcu pharetra euismod dui, tempor pede.",Somewhat agree
11/13/2025 23:33:33,No,0.50,90%,20%,60%,The policy is just right,Strongly agree,About half the time,This did not happen to me,12,Other,"Egestas laoreet viverra porttitor? Erat potenti vehicula. Sed, dapibus per.",Somewhat disagree
11/13/2025 23:33:33,No,7.75,90%,30%,20%,The policy should be much more restrictive,Somewhat agree,Never,Most days,9,Male,"Pretium. Accumsan volutpat ultrices, risus volutpat sodales! Integer fermentum etiam! Ridiculus! Tellus.",Somewhat disagree
11/13/2025 23:33:33,Yes,0.00,60%,0% (none of the time),40%,The policy should be much less restrictive,Neither agree / disagree,Never,This did not happen to me,10,Female,Lectus eu magna erat nonummy aenean aliquam euismod ultrices. Nec neque rutrum convallis. Tempora.,Somewhat disagree
11/13/2025 23:33:33,Yes,4.25,40%,70%,60%,I prefer not to answer,Neither agree / disagree,Always,Less than once a week,11,Female,Enim ridiculus facilisis elit quis sit tincidunt ut euismod sed dignissim. Laoreet est magnis.,Strongly agree
11/13/2025 23:33:33,No,6.00,70%,30%,10%,The policy should be much more restrictive,Strongly agree,Always,About once a week,10,Male,Egestas laoreet atque massa felis montes commodo est nullam. At eu.,Somewhat agree
11/13/2025 23:33:33,Yes,,30%,0% (none of the time),70%,The policy should be much less restrictive,Strongly agree,Sometimes,About once a week,11,Other,"Luctus convallis blandit. Quis. Sodales est nec duis, neque nullam magna.",Somewhat disagree
